hs_code,대분류 선택                                           
2203,맥주
2204,"포도주(생포도로제조한것으로한정하며,알코올로강화한포도주를포함한다)와포도즙(제2009호의것은제외한다)"
2206,"발효주 (사과술 ,배술 ,미이드  등 )"
2207,"변성하지않은에틸알코올(알코올의용량이전용량의100분의80이상인것으로한정한다),변성에틸알코올,그밖의변성주정(알코올의용량은상관없다)"
2208,"변성하지않은에틸알코올(알코올의용량이전용량의100분의80미만인것으로한정한다),증류주ㆍ리큐르(liqueur)와그밖의주정음료"
2209,"식초 ,초산으로  만든  식초대용물"
2301,육ㆍ설육(屑肉)ㆍ어류ㆍ갑각류ㆍ연체동물이나그밖의수생(水生)무척추동물의고운가루ㆍ거친가루ㆍ펠릿(pellet)(식용에적합하지않은것으로한정한다)과수지박
2309,사료용조제품
2402,시가(cigar)ㆍ셔루트(cheroot)ㆍ시가릴로(cigarillo)ㆍ궐련(담배나담배대용물인것으로한정한다)
2424,기타
2501,"소금 (식탁염과 변성염 포함),순염화나트륨 ,해수"
2503,"황 (승화  황 ,침강  황 ,콜로이드  황  제외 )"
2504,천연흑연
2505,천연모래(착색된것인지에상관없으며제26류의금속을함유하는모래는제외한다)
2506,석영(천연모래는제외한다)과규암[톱질이나그밖의방법으로거칠게다듬거나단순히절단하여직사각형(정사각형을포함한다)의블록모양이나슬래브모양으로한것인지에상관없다]
2507,"고령토 ,기타  고령토질의  점토"
2508,"그밖의점토(제6806호의팽창된점토는제외한다)ㆍ홍주석(紅柱石)ㆍ남정석(藍晶石)ㆍ규선석(硅線石)[하소(燒)한것인지에상관없다],멀라이트(mullite),샤모트(chamotte)나다이나스어스(dinasearth)"
2510,천연인산칼슘ㆍ천연인산알루미늄칼슘ㆍ인산염을함유한초크
2511,"천연황산바륨[중정석(重晶石)],천연탄산바륨[독중석(毒重石)][하소(燒)한것인지에상관없으며제2816호의산화바륨은제외한다]"
2512,"규조토 (키이젤거어 .트리폴라이트  등 ),기타  유사한  규산질  흙  겉보기 비중 1 이하인것"
2513,"부석(浮石),금강사(金剛砂),천연커런덤(corundum)ㆍ천연석류석과그밖의천연연마재료(열처리한것인지에상관없다)"
2515,대리석ㆍ트래버틴(travertine)ㆍ에코신(ecaussine)과그밖의석비(石碑)용ㆍ건축용석회질의암석(겉보기비중이2.5이상인것으로한정한다)과설화석고(alabaster)[톱질이나그밖의방법으로거칠게다듬거나단순히절단하여직사각형(정사각형을포함한다)의블록모양이나슬래브모양으로한것인지에상관없다]
2516,화강암ㆍ반암(斑巖)ㆍ현무암ㆍ사암과그밖의석비(石碑)용ㆍ건축용암석[톱질이나그밖의방법으로거칠게다듬거나단순히절단하여직사각형(정사각형을포함한다)의블록모양이나슬래브모양으로한것인지에상관없다]
2517,"자갈ㆍ왕자갈ㆍ쇄석(碎石)[콘크리트용ㆍ도로포장용ㆍ철도용이나그밖의밸러스트(ballast)용에일반적으로사용되는것으로한정한다],싱글(shingle)과플린트(flint)(열처리한것인지에상관없다),슬래그(slag)ㆍ드로스(dross)나이와유사한산업폐기물의머캐덤(macadam)(이호의앞부분에열거한물품들과혼합한것인지에상관없다),타르머캐덤(tarmacadam),제2515호나제2516호의암석의알갱이ㆍ파편ㆍ가루(열처리한것인지에상관없다)"
